seq,method,run,ate_rmse
00,baseline,1,1.1905
00,baseline,2,1.1908
00,baseline,3,1.2874
00,v2,1,1.1866
00,v2,2,1.2908
00,v2,3,1.2195
02,baseline,1,5.2935
02,baseline,2,5.5705
02,baseline,3,5.3033
02,v2,1,4.8999
02,v2,2,5.0261
02,v2,3,5.3991
05,baseline,1,2.8585
05,baseline,2,1.2213
05,baseline,3,0.9281
05,v2,1,0.8502
05,v2,2,0.9563
05,v2,3,0.8539
07,baseline,1,0.4265
07,baseline,2,0.4745
07,baseline,3,0.4645
07,v2,1,0.4868
07,v2,2,0.4526
07,v2,3,0.4320
09,baseline,1,2.0222
09,baseline,2,2.0242
09,baseline,3,1.9523
09,v2,1,2.0440
09,v2,2,3.1724
09,v2,3,1.9971
10,baseline,1,1.5070
10,baseline,2,1.3064
10,baseline,3,1.1845
10,v2,1,1.2935
10,v2,2,1.2970
10,v2,3,1.4112
V101,baseline,1,0.0399
V101,baseline,2,0.0360
V101,baseline,3,0.0554
V101,v2,1,0.0344
V101,v2,2,0.0374
V101,v2,3,0.0357
V102,baseline,1,0.0379
V102,baseline,2,0.0422
V102,baseline,3,0.0353
V102,v2,1,0.0314
V102,v2,2,0.0308
V102,v2,3,0.0583
V103,baseline,1,0.2146
V103,baseline,2,0.1174
V103,baseline,3,0.1624
V103,v2,1,0.0525
V103,v2,2,0.0664
V103,v2,3,0.1618
fr1_360,baseline,1,0.2213
fr1_360,baseline,2,0.2252
fr1_360,baseline,3,0.2214
fr1_360,baseline,4,0.2305
fr1_360,baseline,5,0.1827
fr1_360,baseline,6,0.1653
fr1_360,baseline,7,0.2744
fr1_360,baseline,8,0.1771
fr1_360,baseline,9,0.1762
fr1_360,baseline,10,0.1733
fr1_360,baseline,11,0.2335
fr1_360,baseline,12,0.2370
fr1_360,v2,1,0.2041
fr1_360,v2,2,0.2095
fr1_360,v2,3,0.1585
fr1_360,v2,4,0.2219
fr1_360,v2,5,0.3083
fr1_360,v2,6,0.1387
fr1_360,v2,7,0.1754
fr1_360,v2,8,0.1900
fr1_360,v2,9,0.2389
fr1_360,v2,10,0.2002
fr1_360,v2,11,0.1495
fr1_360,v2,12,0.1824
fr1_desk,baseline,1,0.0173
fr1_desk,baseline,2,0.0210
fr1_desk,baseline,3,0.0272
fr1_desk,baseline,4,0.0378
fr1_desk,baseline,5,0.0176
fr1_desk,baseline,6,0.0170
fr1_desk,baseline,7,0.0224
