seq,n,base_mean,v2_mean,delta_pct,p
00,3,1.2229,1.2323,+0.8,1.0000
02,3,5.3891,5.1084,-5.2,0.5000
05,3,1.6693,0.8868,-46.9,0.2500
07,3,0.4551,0.4571,+0.4,1.0000
09,3,1.9995,2.4045,+20.3,0.2500
10,3,1.3326,1.3339,+0.1,1.0000
V101,3,0.0438,0.0359,-18.1,0.5000
V102,3,0.0385,0.0401,+4.3,1.0000
V103,3,0.1648,0.0936,-43.2,0.2500
fr1_360,12,0.2098,0.1981,-5.6,0.5332
fr1_desk,12,0.0238,0.0170,-28.3,0.0039
fr1_desk2,12,0.0271,0.0283,+4.2,0.1021
fr1_floor,12,0.4017,0.2609,-35.1,0.1694
fr1_room,3,0.0666,0.0720,+8.0,0.5000
fr2_desk,3,0.0181,0.0189,+4.5,0.2500
fr2_xyz,3,0.0039,0.0040,+0.4,1.0000
fr3_office,3,0.0105,0.0127,+20.5,1.0000
fr3_sitting,3,0.0093,0.0091,-2.2,0.2500
