domain,group,sequence,method,threshold,run,ate,unit,lk_used_frames,lk_used_pct,avg_tracked_points
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),1,1.7175,cm,563,98.5989,344.2
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),2,1.6788,cm,563,98.5989,341.7
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),3,1.7017,cm,562,98.4238,354.1
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),4,1.7601,cm,562,98.4238,339.9
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),5,1.8704,cm,559,97.8984,340.0
TUM,a1_office,a1_office,lk_adaptive,adaptive (init 0.40),1,0.8814,cm,2472,99.4368,390.2
TUM,a1_office,a1_office,lk_adaptive,adaptive (init 0.40),2,1.1069,cm,2474,99.5173,387.5
TUM,a1_office,a1_office,lk_adaptive,adaptive (init 0.40),3,1.0118,cm,2470,99.3564,384.3
TUM,a1_sitting,a1_sitting,lk_adaptive,adaptive (init 0.40),1,0.9458,cm,1216,99.9178,293.1
TUM,a1_sitting,a1_sitting,lk_adaptive,adaptive (init 0.40),2,0.9636,cm,1209,99.3426,281.1
TUM,a1_sitting,a1_sitting,lk_adaptive,adaptive (init 0.40),3,0.9231,cm,1215,99.8357,288.4
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,1,9.7553,m,817,29.6122,453.7
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,2,18.2145,m,810,29.4011,451.0
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,3,1.3629,m,757,27.4375,455.4
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,4,1.0018,m,779,28.2349,463.8
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,5,1.1045,m,773,28.0174,445.8
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),1,0.9914,m,2367,85.7920,438.2
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),2,0.9433,m,2374,86.0457,440.3
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),3,0.9858,m,2358,85.4657,443.9
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),4,1.2926,m,2379,86.2269,443.7
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),5,1.0068,m,2353,85.2845,437.9
TUM,legacy_single_run,fr1_desk,base,,single,1.9118,cm,,,
TUM,legacy_single_run,fr1_xyz,base,,single,1.1428,cm,,,
TUM,legacy_single_run,fr2_desk,base,,single,2.0594,cm,,,
TUM,legacy_single_run,fr2_xyz,base,,single,0.3982,cm,,,
TUM,legacy_single_run,fr3_office,base,,single,0.9093,cm,,,
TUM,legacy_single_run,fr3_sitting,base,,single,1.3508,cm,,,
KITTI,kitti00_batch,KITTI 00,base,,1,1.1979,m,,,
KITTI,kitti00_batch,KITTI 00,base,,2,1.1622,m,,,
KITTI,kitti00_batch,KITTI 00,base,,3,1.6262,m,,,
KITTI,kitti00_batch,KITTI 00,lk,,1,1.2156,m,1523,33.5536,469.584
KITTI,kitti00_batch,KITTI 00,lk,,2,2.1062,m,1499,33.0249,467.316
KITTI,kitti00_batch,KITTI 00,lk,,3,1.2916,m,1482,32.6504,470.661
KITTI,kitti05_ablation,KITTI 05,lk,0.10,0,0.9320,m,336,12.1783,473.4
KITTI,kitti05_ablation,KITTI 05,lk,0.10,1,0.9177,m,378,13.7006,485.6
KITTI,kitti05_ablation,KITTI 05,lk,0.10,2,1.0914,m,372,13.4831,475.7
KITTI,kitti05_ablation,KITTI 05,lk,0.10,3,0.8376,m,398,14.4255,475.1
KITTI,kitti05_ablation,KITTI 05,lk,0.20,0,0.8573,m,771,27.9449,453.1
KITTI,kitti05_ablation,KITTI 05,lk,0.20,1,0.9052,m,811,29.3947,458.7
KITTI,kitti05_ablation,KITTI 05,lk,0.20,2,1.1153,m,790,28.6336,465.2
KITTI,kitti05_ablation,KITTI 05,lk,0.20,3,5.2116,m,801,29.0323,461.9
KITTI,kitti05_ablation,KITTI 05,lk,0.30,0,0.9189,m,1218,44.1464,456.6
KITTI,kitti05_ablation,KITTI 05,lk,0.30,1,0.9662,m,1202,43.5665,447.6
KITTI,kitti05_ablation,KITTI 05,lk,0.30,2,0.8881,m,1198,43.4215,456.6
KITTI,kitti05_ablation,KITTI 05,lk,0.30,3,0.8456,m,1208,43.7840,461.1
KITTI,kitti05_ablation,KITTI 05,lk,0.50,0,0.9883,m,1828,66.2559,450.6
