domain,group,sequence,method,threshold,run,lk_used_frames,total_frames,adoption_pct,source
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),1,563,571,98.5989,log
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),2,563,571,98.5989,log
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),3,562,571,98.4238,log
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),4,562,571,98.4238,log
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),5,559,571,97.8984,log
TUM,a1_office,a1_office,lk_adaptive,adaptive (init 0.40),1,2472,2486,99.4368,log
TUM,a1_office,a1_office,lk_adaptive,adaptive (init 0.40),2,2474,2486,99.5173,log
TUM,a1_office,a1_office,lk_adaptive,adaptive (init 0.40),3,2470,2486,99.3564,log
TUM,a1_sitting,a1_sitting,lk_adaptive,adaptive (init 0.40),1,1216,1217,99.9178,log
TUM,a1_sitting,a1_sitting,lk_adaptive,adaptive (init 0.40),2,1209,1217,99.3426,log
TUM,a1_sitting,a1_sitting,lk_adaptive,adaptive (init 0.40),3,1215,1217,99.8357,log
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,1,817,2759,29.6122,log
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,2,810,2755,29.4011,log
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,3,757,2759,27.4375,log
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,4,779,2759,28.2349,log
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,5,773,2759,28.0174,log
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),1,2367,2759,85.7920,log
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),2,2374,2759,86.0457,log
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),3,2358,2759,85.4657,log
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),4,2379,2759,86.2269,log
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),5,2353,2759,85.2845,log
TUM,legacy_single_run,fr1_desk,base,,single,,,,log
TUM,legacy_single_run,fr1_xyz,base,,single,,,,log
TUM,legacy_single_run,fr2_desk,base,,single,,,,log
TUM,legacy_single_run,fr2_xyz,base,,single,,,,log
TUM,legacy_single_run,fr3_office,base,,single,,,,log
TUM,legacy_single_run,fr3_sitting,base,,single,,,,log
KITTI,kitti00_batch,KITTI 00,base,,1,,,,missing
KITTI,kitti00_batch,KITTI 00,base,,2,,,,missing
KITTI,kitti00_batch,KITTI 00,base,,3,,,,missing
KITTI,kitti00_batch,KITTI 00,lk,,1,1523,4539,33.5536,lkstats
KITTI,kitti00_batch,KITTI 00,lk,,2,1499,4539,33.0249,lkstats
KITTI,kitti00_batch,KITTI 00,lk,,3,1482,4539,32.6504,lkstats
KITTI,kitti05_ablation,KITTI 05,lk,0.10,0,336,2759,12.1783,log
