domain,group,sequence,method,threshold,run,traj_lines,gt_lines,newmap_events,relocalizations,lost_events,gate_alarms,segfault
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),1,573,,0,0,0,4,
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),2,573,,0,0,0,3,
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),3,573,,0,0,0,3,
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),4,573,,0,0,0,4,
TUM,a1_fr1desk,a1_fr1desk,lk_adaptive,adaptive (init 0.40),5,573,,0,0,0,4,
TUM,a1_office,a1_office,lk_adaptive,adaptive (init 0.40),1,2488,,0,0,0,1,
TUM,a1_office,a1_office,lk_adaptive,adaptive (init 0.40),2,2488,,0,0,0,0,
TUM,a1_office,a1_office,lk_adaptive,adaptive (init 0.40),3,2488,,0,0,0,1,
TUM,a1_sitting,a1_sitting,lk_adaptive,adaptive (init 0.40),1,1219,,0,0,0,0,
TUM,a1_sitting,a1_sitting,lk_adaptive,adaptive (init 0.40),2,1219,,0,0,0,0,
TUM,a1_sitting,a1_sitting,lk_adaptive,adaptive (init 0.40),3,1219,,0,0,0,0,
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,1,2761,4541,0,0,0,361,
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,2,2761,4541,0,1,0,473,
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,3,2761,4541,0,0,0,397,
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,4,2761,4541,0,0,0,411,
KITTI,a2_kitti05,a2_kitti05,lk_adaptive,0.20 pinned,5,2761,4541,0,0,0,495,
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),1,2761,4541,0,0,0,111,
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),2,2761,4541,0,0,0,160,
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),3,2761,4541,0,0,0,168,
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),4,2761,4541,0,0,0,137,
KITTI,a3_kitti05,a3_kitti05,lk_adaptive,adaptive (default),5,2761,4541,0,0,0,156,
TUM,legacy_single_run,fr1_desk,base,,single,96,2338,1,0,0,0,
TUM,legacy_single_run,fr1_xyz,base,,single,63,3003,0,0,0,0,
TUM,legacy_single_run,fr2_desk,base,,single,227,20960,0,0,0,0,
TUM,legacy_single_run,fr2_xyz,base,,single,51,36823,0,0,0,0,
TUM,legacy_single_run,fr3_office,base,,single,259,8713,0,0,0,0,
TUM,legacy_single_run,fr3_sitting,base,,single,52,4254,0,0,0,0,
KITTI,kitti00_batch,KITTI 00,base,,1,4541,4541,,,,,
KITTI,kitti00_batch,KITTI 00,base,,2,4541,4541,,,,,
KITTI,kitti00_batch,KITTI 00,base,,3,4541,4541,,,,,
KITTI,kitti00_batch,KITTI 00,lk,,1,4541,4541,,,,,
KITTI,kitti00_batch,KITTI 00,lk,,2,4541,4541,,,,,
KITTI,kitti00_batch,KITTI 00,lk,,3,4541,4541,,,,,
KITTI,kitti05_ablation,KITTI 05,lk,0.10,0,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,0.10,1,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,0.10,2,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,0.10,3,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,0.20,0,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,0.20,1,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,0.20,2,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,0.20,3,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,0.30,0,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,0.30,1,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,0.30,2,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,0.30,3,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,0.50,0,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,1.00,0,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,1.00,1,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,1.00,2,,2761,0,0,0,0,
KITTI,kitti05_ablation,KITTI 05,lk,1.00,3,,2761,0,0,0,0,
KITTI,kitti05_baseline,KITTI 05,base,,1,,2761,,,,,
KITTI,kitti05_baseline,KITTI 05,base,,2,,2761,,,,,
